"bias","empse","modelse","cover","model","baseline","n"
0.0214799858459861,0.328476473704812,0.318460370104973,0.95,"Cox","Exponential","50"
0.0239141133174226,0.325755906048068,0.312674786210565,0.94,"Exp","Exponential","50"
0.0182839109054111,0.331174565092043,0.31650196958097,0.95,"RP(2)","Exponential","50"
-0.0281866231771244,0.311454757489043,0.305189808627094,0.97,"Cox","Weibull","50"
0.150920680704528,0.204130250715324,0.288842867934597,0.99,"Exp","Weibull","50"
-0.0347712489090235,0.311079844370672,0.299609422453967,0.95,"RP(2)","Weibull","50"
-0.0215240786886133,0.148833647376922,0.139605736556327,0.93,"Cox","Exponential","250"
-0.0213535894512185,0.150640036296144,0.138085835436466,0.92,"Exp","Exponential","250"
-0.0227437552174316,0.148944708450906,0.13939241244655,0.93,"RP(2)","Exponential","250"
-0.0120412113080228,0.133345050918931,0.132047807499156,0.94,"Cox","Weibull","250"
0.148162447547699,0.0929414118830688,0.128051187040892,0.85,"Exp","Weibull","250"
-0.0139336850635266,0.136774527448201,0.131277398987713,0.94,"RP(2)","Weibull","250"
